Sentence,Sentiment,Cleaned_Sentence,word_count,char_count,label_encoded
"The company , employing 6,400 , reported net sales of 620 mln euro $ 823.2 mln for 2006 .",neutral,the company employing reported net sales of mln euro mln for,11,60,1
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive,trlpc crh backs lafarge holcim asset buy with bln euro bridge loan,12,66,2
G4S sees profits rise but UK contract problems remain,positive,g s sees profits rise but uk contract problems remain,10,53,2
The office space will rise above the remodeled Cannon Street underground station .,neutral,the office space will rise above the remodeled cannon street underground station,12,80,1
"According to the original merger plan , Scanfil would get a 79 % stake in the combined business .",neutral,according to the original merger plan scanfil would get a stake in the combined business,15,88,1
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",negative,as a result the company will temporarily lay off of the whole personnel approximately persons at kirkkonummi and nivala factories,20,129,0
"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",positive,in kone received an order from aker yards to supply customised elevators for the very first genesis cruise ship which is scheduled to be completed in,26,149,2
The service also enables users to watch e-mails in HTML format en is enhanced with 23 addition languages to choose from .,neutral,the service also enables users to watch e mails in html format en is enhanced with addition languages to choose from,21,116,1
"Previously , Grimaldi held a 46.43 pct stake in the Finnish company following the takeover bid launched in November 2006 .",neutral,previously grimaldi held a pct stake in the finnish company following the takeover bid launched in november,17,107,1
UPDATE 3-Auto Trader shares leap in UK's biggest private equity-backed listing,positive,update auto trader shares leap in uk s biggest private equity backed listing,13,76,2
"So far as is known , he did not sell shares that he owns personally .",neutral,so far as is known he did not sell shares that he owns personally,14,65,1
"( ADPnews ) - Oct 21 , 2009 - Finland-based IT consultancy Tieto Oyj ( HEL : TIE1V ) said today its net profit plunged to EUR 29.4 million ( USD 43.9 m ) for the first nine months of 2009 from EUR 58.7 million for the same period o",neutral,adpnews oct finland based it consultancy tieto oyj hel tie v said today its net profit plunged to eur million usd m for the first nine months of from eur million for the same period o,36,183,1
"A corresponding increase of 85,432.50 euros in Ahlstrom 's share capital has been entered in the Trade Register today .",neutral,a corresponding increase of euros in ahlstrom s share capital has been entered in the trade register today,18,106,1
"Following its strategy , Tikkurila has established a fully-owned sales company TOO Tikkurila in Almaty , Kazakhstan , for marketing decorative paints under the Finnish Tikkurila brand and the Russian Teks brand .",neutral,following its strategy tikkurila has established a fully owned sales company too tikkurila in almaty kazakhstan for marketing decorative paints under the finnish tikkurila brand and the russian teks brand,30,204,1
Related links : Flexiblebaseloadoperation TheWartsila32generating set Gasconversions This is the shorter of two versions of this press release .,neutral,related links flexiblebaseloadoperation thewartsila generating set gasconversions this is the shorter of two versions of this press release,18,139,1
"The inventors are Bylander Johan , Ponten Fredrik and Lundberg Jorgen .",neutral,the inventors are bylander johan ponten fredrik and lundberg jorgen,10,67,1
"The inventors are Mukkavilli Krishna Kiran , Sabharwal Ashutosh and Aazhang Behnaam .",neutral,the inventors are mukkavilli krishna kiran sabharwal ashutosh and aazhang behnaam,11,81,1
"In the third quarter , net sales increased by 12 % year-on-year to EUR159 .5 m , or by 6 % at comparable currency rates growth .",positive,in the third quarter net sales increased by year on year to eur m or by at comparable currency rates growth,21,107,2
"The Network Test Business is part of Elektrobit 's Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad , mainly in the US and Asia .",neutral,the network test business is part of elektrobit s test and automation business segment and employs people in finland and people abroad mainly in the us and asia,28,160,1
"The fair value of the investment properties totaled EUR 2,534.9 mn , up from EUR 2,455.1 mn in 2006 .",positive,the fair value of the investment properties totaled eur mn up from eur mn in,15,76,2
Diluted EPS rose to EUR3 .68 from EUR0 .50 .,positive,diluted eps rose to eur from eur,7,32,2
Long $VVUS shares as a call option w/ an expiration of..  umm.. TODAY.    Hitting HOD here.,positive,long vvus shares as a call option w an expiration of umm today hitting hod here,16,79,2
"There will be return flights from Stuttgart every morning , as well as evening departures on Thursdays , Fridays and Sundays .",neutral,there will be return flights from stuttgart every morning as well as evening departures on thursdays fridays and sundays,19,120,1
Raute Corporation has received orders worth over EUR 12 million from OOO Ilim Bratsk DOK in Russia .,positive,raute corporation has received orders worth over eur million from ooo ilim bratsk dok in russia,16,95,2
`` We 've been feeling quite positive about the region as a whole .,positive,we ve been feeling quite positive about the region as a whole,12,61,2
"Under the terms of the agreement , Bunge will acquire Raisio 's Keiju , Makuisa and Pyszny Duet brands and manufacturing plants in Finland and Poland .",neutral,under the terms of the agreement bunge will acquire raisio s keiju makuisa and pyszny duet brands and manufacturing plants in finland and poland,24,144,1
CompaniesAB InBev signals it won't go hostile for SABMiller,positive,companiesab inbev signals it won t go hostile for sabmiller,10,59,2
The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,the iso certification demonstrates that we are moving forward in our quality commitments to our customers,16,105,2
"The decision will have to be made whether the group agrees to the import of Estonian meat and meat products to Finland , the paper added .",neutral,the decision will have to be made whether the group agrees to the import of estonian meat and meat products to finland the paper added,25,134,1
Salcomp Manufacturing Oy will pay EUR 35 million in cash to Salcomp in connection with the implementation of the sale and transfer of the Business .,neutral,salcomp manufacturing oy will pay eur million in cash to salcomp in connection with the implementation of the sale and transfer of the business,24,143,1
"ALEXANDRIA , Va. , Dec. 22 -- United States Patent no. 7,854,608 , issued on Dec. 21 , was assigned to Outotec Oyj ( Espoo , Finland ) .",neutral,alexandria va dec united states patent no issued on dec was assigned to outotec oyj espoo finland,17,97,1
"The newly-completed Allure of the Seas and its identical sister ship , Oasis of the Seas , which was completed last year are the world 's largest cruise ships .",neutral,the newly completed allure of the seas and its identical sister ship oasis of the seas which was completed last year are the world s largest cruise ships,28,153,1
After 1 April 2007 Cencorp will not have any own employees in the territory .,neutral,after april cencorp will not have any own employees in the territory,12,68,1
"Based in Helsinki , Finland , Ramirent has branches in 13 Nordic , central and Eastern European countries .",neutral,based in helsinki finland ramirent has branches in nordic central and eastern european countries,14,96,1
"s business sectors are building construction , infrastructure construction and technical building services .",neutral,s business sectors are building construction infrastructure construction and technical building services,12,104,1
"www.countryelements.co.uk Designed by Patricia Burt , this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes .",neutral,designed by patricia burt this is just one of a selection of distinctive hooked rugs created with recycled materials and dyed natural dyes,23,138,1
Infection worries prompt regulatory reviews of Gilead leukaemia drug $GILD https://t.co/H9vqXpZ15G via @YahooFinance,negative,infection worries prompt regulatory reviews of gilead leukaemia drug gild via yahoofinance,12,90,0
The Department Store Division 's sales fell by 8.6 % to EUR 140.2 mn .,negative,the department store division s sales fell by to eur mn,11,55,0
"Significance : Teleste has emphasised that with its large size and growing economy , as well as the rapid development of its TV services distribution industry , Poland is viewed as an attractive market .",positive,significance teleste has emphasised that with its large size and growing economy as well as the rapid development of its tv services distribution industry poland is viewed as an attractive market,31,195,2
"Technopolis plans to develop in stages an area of no less than 100,000 square meters in order to host companies working in computer technologies and telecommunications , the statement said .",neutral,technopolis plans to develop in stages an area of no less than square meters in order to host companies working in computer technologies and telecommunications the statement said,28,178,1
"In Finland , export industry forms a large clientele for the packaging industry .",neutral,in finland export industry forms a large clientele for the packaging industry,12,77,1
"( ADP News ) - Oct 31 , 2008 - Finnish food company Raisio Oyj ( OMX : RAIVV ) said today that its net profit jumped to EUR 16.4 million ( USD 20.9 m ) for the first nine months of 2008 from EUR 1.1 million for the same period of 2",positive,adp news oct finnish food company raisio oyj omx raivv said today that its net profit jumped to eur million usd m for the first nine months of from eur million for the same period of,36,182,2
You will hear the latest insights and updates on Citycon 's strategy as well as the latest news from all the business units .,neutral,you will hear the latest insights and updates on citycon s strategy as well as the latest news from all the business units,23,122,1
"$XLF http://stks.co/1KJ9 Bounced off target buy area, bought $skf as a hedge. watch 50ma's slope",negative,xlf bounced off target buy area bought skf as a hedge watch ma s slope,15,70,0
"BHP Billiton posts big loss, slashes dividend",negative,bhp billiton posts big loss slashes dividend,7,44,0
They will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,neutral,they will be sunk to a depth of some metres and fixed to the bottom mud by vacuum,18,81,1
Device volume in the area decreased by 21 % to 2.7 mn units .,neutral,device volume in the area decreased by to mn units,10,50,1
Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,positive,sponda will record a profit from the sale of mln euro mln,12,57,2
"Berling Capital , Umo Capital and Veikko Laine are the biggest shareholders in Amanda Capital .",neutral,berling capital umo capital and veikko laine are the biggest shareholders in amanda capital,14,91,1
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive,trx long setup macd cross,5,25,2
"According to Ultrascan , with a software acquired from crackers , it has managed to change the mobile phone in a way that the phone was able to get hold of a one-time password sent by a bank via a text message .",neutral,according to ultrascan with a software acquired from crackers it has managed to change the mobile phone in a way that the phone was able to get hold of a one time password sent by a bank via a text message,41,205,1
"In the beginning of the negotiations , the estimated number of reductions was 50 at the maximum .",neutral,in the beginning of the negotiations the estimated number of reductions was at the maximum,15,90,1
The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,positive,the group s business is balanced by its broad portfolio of sports and presence in all major markets,18,99,2
"Elcoteq 's global service offering covers the entire lifecycle of products , from product development to after-market services .",neutral,elcoteq s global service offering covers the entire lifecycle of products from product development to after market services,18,123,1
$PCLN Back to Back intraday reversals look out below. Shorts moving in!,negative,pcln back to back intraday reversals look out below shorts moving in,12,68,0
"Outotec 's scope of delivery covers the engineering , supply of special equipment and services for a calcination plant with two circulating fluid bed calciners .",neutral,outotec s scope of delivery covers the engineering supply of special equipment and services for a calcination plant with two circulating fluid bed calciners,24,156,1
Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,neutral,solidium now holds per cent of the shares solidium oy has acquired per cent of the shares in tieto corporation for approximately eur million,24,140,1
Raute is listed on the Nordic exchange in Helsinki .,neutral,raute is listed on the nordic exchange in helsinki,9,50,1
$SPY  still wants higher I think.,positive,spy still wants higher i think,6,30,2
Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .,neutral,finnish forest industry group stora enso oyj issued on thursday march a profit warning for the first quarter,18,108,1
Poyry has a good track record of major transportation projects in Latin America .,positive,poyry has a good track record of major transportation projects in latin america,13,79,2
"At 10.33 am , Huhtamaki was the market 's biggest faller , 8.69 pct lower at 11.35 eur , while the OMX Helsinki 25 was 0.32 pct higher at 3,332.41 , and the OMX Helsinki was up 0.47 pct at 11,687.32 .",negative,at am huhtamaki was the market s biggest faller pct lower at eur while the omx helsinki was pct higher at and the omx helsinki was up pct at,29,140,0
These measures are expected to produce annual cost savings of EUR 1.5 million starting in 2007 .,positive,these measures are expected to produce annual cost savings of eur million starting in,14,85,2
"The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board , EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .",neutral,the annual general meeting approved that the yearly remuneration for the members of the board of directors shall remain at eur for the chairman of the board eur for the deputy chairman of the board and eur for other members of the board,43,236,1
Sanoma Magazines Finland 's net sales grew to EUR 140.1 mn from EUR 131.8 mn .,positive,sanoma magazines finland s net sales grew to eur mn from eur mn,13,63,2
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,positive,ruukki s order book at the end of was up year on year and up quarter on quarter,18,79,2
The repurchases shall decrease the distributable capital and reserves .,negative,the repurchases shall decrease the distributable capital and reserves,9,69,0
Pretax loss totalled EUR 162.3 mn compared to a profit of EUR 253.5 mn in 2007 .,neutral,pretax loss totalled eur mn compared to a profit of eur mn in,13,61,1
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,kior my god market getting crushed today gotta hold if anything g should recover some tomorrow i imagine,18,104,0
"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",positive,at the end of march the group s order book was at eur mn up from the corresponding period in,20,92,2
"National Conciliator Juhani Salonius , who met both parties on Wednesday , said they were too far apart in their views for him to propose mediation .",negative,national conciliator juhani salonius who met both parties on wednesday said they were too far apart in their views for him to propose mediation,24,143,0
Metsaliitto said that it will book a minor gain of less than EUR1 .0 m from the transaction .,positive,metsaliitto said that it will book a minor gain of less than eur m from the transaction,17,87,2
"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",positive,known as post bank the concept would see fidelity bank rolling out offices in ghana post premises to provide financial services to the people,24,141,2
UK's FTSE has worst day so far in 2015 as BG and Prudential fall,negative,uk s ftse has worst day so far in as bg and prudential fall,14,59,0
Finnish retail software developer Aldata Solution Oyj reported a net loss of 11.7 mln euro $ 17.2 mln for 2007 versus a net profit of 2.5 mln euro $ 3.7 mln for 2006 .,negative,finnish retail software developer aldata solution oyj reported a net loss of mln euro mln for versus a net profit of mln euro mln for,25,133,0
LSE-Deutsche BÃ¶rse dealmakers wrong to ignore Brexit risk,negative,lse deutsche b rse dealmakers wrong to ignore brexit risk,10,57,0
Aker Yards Finland will begin using Chinese subcontractors at its Finnish shipyards .,neutral,aker yards finland will begin using chinese subcontractors at its finnish shipyards,12,83,1
"It is part of the development of the world-class magnetite deposit at Karara , which has the known potential for over 30 million metric tons of annual processing of magnetite over its estimated 30-year life .",neutral,it is part of the development of the world class magnetite deposit at karara which has the known potential for over million metric tons of annual processing of magnetite over its estimated year life,34,198,1
Glencore slumps 25 pct as debt fears grow,negative,glencore slumps pct as debt fears grow,7,38,0
Standard Chartered Not Raising Capital Yet As Dividend Cut,negative,standard chartered not raising capital yet as dividend cut,9,58,0
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive,sonc amazing run since middle of march obvious that the quality tastiness of their burgers is not being factored into this price advance,23,136,2
The air traffic of Finland has been in stoppage since then .,negative,the air traffic of finland has been in stoppage since then,11,58,0
UPDATE 1-Engineering firm Smiths Group confirms CEO appointment,neutral,update engineering firm smiths group confirms ceo appointment,8,61,1
55 workers in +àm+Ñl will be affected by the close-down .,negative,workers in m l will be affected by the close down,11,49,0
Karppinen expects the consolidation trend to continue in the Finnish market .,neutral,karppinen expects the consolidation trend to continue in the finnish market,11,75,1
Metso estimates the need for personnel reductions to amount to 25 people .,neutral,metso estimates the need for personnel reductions to amount to people,11,69,1
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative,aapl aapl gundlach slams ipad mini sees downside to,9,51,0
AstraZeneca shares climb 3% as drug maker ups profits forecasts,positive,astrazeneca shares climb as drug maker ups profits forecasts,9,60,2
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,operating profit rose by to eur million,7,39,2
The EPS improved to EUR0 .38 from EUR0 .27 .,positive,the eps improved to eur from eur,7,32,2
Insight hires Aviva's David Hillier for multi-asset team,positive,insight hires aviva s david hillier for multi asset team,10,56,2
The center will be built in the Kapuli district of Mantsala beside the Hanko-Mantsala-Porvoo road near the new direct rail link between Lahti and Jarvenpaa .,neutral,the center will be built in the kapuli district of mantsala beside the hanko mantsala porvoo road near the new direct rail link between lahti and jarvenpaa,27,155,1
"It grew in Finland , Norway , Denmark and the Baltic countries .",neutral,it grew in finland norway denmark and the baltic countries,10,58,1
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive,today i bought more mu yhoo vale nbl twtr axp znga,11,50,2
"Proline Plus is available in both adjustable single and multichannel models and fixed volume single-channel models , in volume ranges from 0.1 micro litres to 10 ml .",neutral,proline plus is available in both adjustable single and multichannel models and fixed volume single channel models in volume ranges from micro litres to ml,25,155,1
The final outcome of the rights offering is to be reported around 23 October 2009 .,neutral,the final outcome of the rights offering is to be reported around october,13,73,1
Vaisala 's board of directors will propose a dividend of 0.85 euro $ 1.24 per share at the company 's annual general meeting .,neutral,vaisala s board of directors will propose a dividend of euro per share at the company s annual general meeting,20,110,1
"Body The credit falls due February 24 , 2014 .",neutral,body the credit falls due february,6,34,1
"I'm liking the price action in $SWKS, currently @21.80 ; my target: 24.00+ before year end.",positive,i m liking the price action in swks currently my target before year end,14,71,2
"The report also said Nokia 's operations comprising the sites at Bochum , Ulm , Dusseldorf , Munich and Frankfurt posted operating profit after interest of 246 mln eur .",neutral,the report also said nokia s operations comprising the sites at bochum ulm dusseldorf munich and frankfurt posted operating profit after interest of mln eur,25,156,1
"As a result , the company has decided it will implement fixed-term temporary lay-offs .",neutral,as a result the company has decided it will implement fixed term temporary lay offs,15,83,1
Copper market may get a 2003-style supply shock from Glencore closures,negative,copper market may get a style supply shock from glencore closures,11,65,0
"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",positive,according to the company s updated strategy for the years basware targets a long term net sales growth in the range of with an operating profit margin of of net sales,31,166,2
Scanfil holdings include 100 % of contract electronics manufacturer Scanfil EMS Group .,neutral,scanfil holdings include of contract electronics manufacturer scanfil ems group,10,79,1
"Dubai Nokia has announced the launch of `` Comes with Music '' , its ground-breaking service which introduces a new way for people to enjoy music .",positive,dubai nokia has announced the launch of comes with music its ground breaking service which introduces a new way for people to enjoy music,24,137,2
"Finnish metal components supplier Componenta on December 26 , 2006 applied for approval with the Turkish Capital Markets Board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer Doktas Dokumculuk .",neutral,finnish metal components supplier componenta on december applied for approval with the turkish capital markets board to launch a mandatory offer for the remaining shares in iron and aluminium castings producer doktas dokumculuk,33,227,1
"Cost savings will then rise to some 20 mln eur a year from 2007 , OKO said .",positive,cost savings will then rise to some mln eur a year from oko said,14,64,2
"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",positive,biohit and vwr have been in close cooperation for a number of years in the us where biohit is one of vwr s focus suppliers,25,122,2
Finnlines said that the deal is part of its strategy to focus on its core businesses .,neutral,finnlines said that the deal is part of its strategy to focus on its core businesses,16,84,1
"The order comprises all production lines for a plywood mill , company said in a statement received by Lesprom Network .",neutral,the order comprises all production lines for a plywood mill company said in a statement received by lesprom network,19,115,1
$SPY Long 1/2 position 137.89,positive,spy long position,3,17,2
The total value of these two contracts is over EUR 21 million .,neutral,the total value of these two contracts is over eur million,11,58,1
"( ADP News ) - Oct 1 , 2008 - Finnish consulting and engineering company Poyry Oyj ( OMX : POY1V ) said today it was awarded a EUR 5.2 million ( USD 7.4 m ) extension to their existing consultancy engineering contract with Venezuel",positive,adp news oct finnish consulting and engineering company poyry oyj omx poy v said today it was awarded a eur million usd m extension to their existing consultancy engineering contract with venezuel,32,196,2
No service pricing details were disclosed .,neutral,no service pricing details were disclosed,6,41,1
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",negative,tsla recalls model x vehicles shares volatile tsla tech stockmarket,10,67,0
"Equipment will be manufactured in Vaahto 's workshop in Hollola , Finland and is scheduled for shipments during the first quarter of 2009 .",neutral,equipment will be manufactured in vaahto s workshop in hollola finland and is scheduled for shipments during the first quarter of,21,129,1
$FB still a dog going much lower this week,negative,fb still a dog going much lower this week,9,41,0
The expanded plant is scheduled to be operational by the middle of October 2009 .,neutral,the expanded plant is scheduled to be operational by the middle of october,13,74,1
"In July-September 2008 , YIT 's net sales increased to EUR 970.8 mn , compared to EUR 906.8 mn in the corresponding period in 2007 .",positive,in july september yit s net sales increased to eur mn compared to eur mn in the corresponding period in,20,103,2
"In Finland , OP-Pohjola 's staff union is boycotting the group 's insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages .",negative,in finland op pohjola s staff union is boycotting the group s insurance sales tasks because the company has refused to take the sale of insurance into account in determining wages,31,179,0
The aforementioned shareholders have informed that they will propose to the Annual General Meeting that the number of members of the Board of Directors shall be five and that besides the present members of the Board of Directors also Mr Lassi Noponen shall be elected to the Board of Directors .,neutral,the aforementioned shareholders have informed that they will propose to the annual general meeting that the number of members of the board of directors shall be five and that besides the present members of the board of directors also mr lassi noponen shall be elected to the board of directors,50,293,1
"$TSLA recalls 2,700 Model X cars. Stock dropping hard...",negative,tsla recalls model x cars stock dropping hard,8,45,0
"In Finland , insurance company Pohjola and the Finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists ' traffic safety .",positive,in finland insurance company pohjola and the finnish motorcyclist association have signed an agreement with the aim of improving motorcyclists traffic safety,22,157,2
"Tikkurila , a division of Kemira group , controls about 23 % of the Russian market in its field and owns St. Petersburg paint producer TEX. .",neutral,tikkurila a division of kemira group controls about of the russian market in its field and owns st petersburg paint producer tex,22,128,1
The Department Store Division reported an increase in sales of 4 per cent .,positive,the department store division reported an increase in sales of per cent,12,71,2
"In the Baltic countries , Atria 's target is organic growth .",neutral,in the baltic countries atria s target is organic growth,10,56,1
Operating profit rose to EUR 103.4 mn from EUR 23.2 in the corresponding period in 2006 .,positive,operating profit rose to eur mn from eur in the corresponding period in,13,71,2
The Group 's revenue in 2008 amounted to EUR 94 million and the company currently employs approximately 730 people .,neutral,the group s revenue in amounted to eur million and the company currently employs approximately people,16,101,1
The board of directors also proposed that a dividend of EUR0 .20 per outstanding share be paid .,neutral,the board of directors also proposed that a dividend of eur per outstanding share be paid,16,89,1
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,negative,ea points to the two facebook games and accuses znga of copyright infringement,13,78,0
"In the second quarter of 2010 , the group 's net profit rose to EUR3 .1 m from EUR2 .5 m in April-June 2009 .",positive,in the second quarter of the group s net profit rose to eur m from eur m in april june,20,86,2
Otherwise the situation is under control .,neutral,otherwise the situation is under control,6,40,1
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative,juniper tumbles on q warning cisco also lower jnpr csco,10,55,0
"In beers , Olvi retained its market position .",neutral,in beers olvi retained its market position,7,42,1
"In Finland , the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 .",negative,in finland the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march,32,172,0
"According to latest information , Benefon will launch its Twig device on 20 September 2006 .",neutral,according to latest information benefon will launch its twig device on september,12,80,1
"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",positive,exports accounted for of net sales representing an all time record for the company,14,82,2
"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",positive,according to nordic financial group nordea s analyst sami sarkamies this makes nokia s portfolio competitive again,17,114,2
"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",neutral,the payment of million litas in interest on a long term loan provided by ragutis majority shareholder estonia s a le coq also added to the losses,27,145,1
Aspocomp has a large factory in China and a factory building project in India that was halted due to financing problems .,neutral,aspocomp has a large factory in china and a factory building project in india that was halted due to financing problems,21,119,1
"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",positive,finnish steel maker rautaruukki oyj ruukki said on july that it won a mln euro mln contract to supply and install steel superstructures for partihallsforbindelsen bridge project in gothenburg western sweden,31,206,2
"Profit for the period totalled EUR 0.8 mn , down from EUR 1.1 mn in the corresponding period in 2008 .",neutral,profit for the period totalled eur mn down from eur mn in the corresponding period in,16,85,1
"Both operating profit and turnover for the six-month period increased , respectively , from EUR17 .6 m and EUR1149 .9 m , as compared to the corresponding period in 2007 .",positive,both operating profit and turnover for the six month period increased respectively from eur m and eur m as compared to the corresponding period in,25,146,2
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,doubts grow over glaxosmithkline s bln capital return plan,9,58,0
Altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,neutral,altogether subjects with mildly elevated cholesterol levels participated in the four month long intervention,14,108,1
"128,538 shares can still be subscribed for with Series E share options , max .",neutral,shares can still be subscribed for with series e share options max,12,66,1
"Comptel Corporation Sami Ervio President and CEO , Distribution : NASDAQ OMX Helsinki Major media Comptel Dynamic OSS solutions enable telecom service providers to deliver services flexibly and charge them effectively .",neutral,comptel corporation sami ervio president and ceo distribution nasdaq omx helsinki major media comptel dynamic oss solutions enable telecom service providers to deliver services flexibly and charge them effectively,29,213,1
"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",positive,operating profit for the nine month period increased from eur m and net sales increased from eur m as compared to the corresponding period in,25,141,2
Absolut Bank is exploring the possibility of further borrowing .,neutral,absolut bank is exploring the possibility of further borrowing,9,62,1
$NKE gapping up to all time highs http://stks.co/q1jAu #tradeideas http://stks.co/r1j6c,positive,nke gapping up to all time highs tradeideas,8,43,2
The value of the order is around EUR 100 million .,neutral,the value of the order is around eur million,9,44,1
"Elisa said mobile subscriptions grew 7 percent during 2007 , mainly because of customers adopting so-called third generation mobile technology .",positive,elisa said mobile subscriptions grew percent during mainly because of customers adopting so called third generation mobile technology,18,133,2
"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",negative,in q of profit before taxes amounted to eur mn down from eur mn in q of,17,71,0
Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral,berkshire hathaway names kara raiguel to lead general re unit,10,61,1
"SRV will raise its holding in the company so that by the summer of 2008 , it will have a majority .",positive,srv will raise its holding in the company so that by the summer of it will have a majority,19,90,2
"Olvi , which controls a 94 percent stake in Ragutis through A. Le Coq , said in its annual report published earlier this year that the Lithuanian brewery 's sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",positive,olvi which controls a percent stake in ragutis through a le coq said in its annual report published earlier this year that the lithuanian brewery s sales reached million euros last year a rise of percent from million euros in,40,225,2
"Kesko offers Hilton to open a hotel on Kalinisky prospect in a 18,000-square metres building because of these difficulties .",neutral,kesko offers hilton to open a hotel on kalinisky prospect in a square metres building because of these difficulties,19,115,1
As a result of these negotiations the company has decided to make 45 people redundant on financial and production grounds .,neutral,as a result of these negotiations the company has decided to make people redundant on financial and production grounds,19,118,1
The new B shares carry the right to dividend and other shareholder rights with effect from today .,neutral,the new b shares carry the right to dividend and other shareholder rights with effect from today,17,96,1
Also the traditional grapevine carries a lot of weight .,neutral,also the traditional grapevine carries a lot of weight,9,54,1
"The company has a continuous need for alloys such as nickel , ferro-chrome , molybdenum and manganese in its production , said Talvivaara .",neutral,the company has a continuous need for alloys such as nickel ferro chrome molybdenum and manganese in its production said talvivaara,21,131,1
"Rautakesko 's business operations in Norway and Russia , acquired in July 2005 , are included in the figures of the comparable period , impacting sales growth starting from August .",neutral,rautakesko s business operations in norway and russia acquired in july are included in the figures of the comparable period impacting sales growth starting from august,26,167,1
"The fair value of the property portfolio doubled as a result of the Kapiteeli acquisition and totalled EUR 2,686.2 1,259.7 million .",positive,the fair value of the property portfolio doubled as a result of the kapiteeli acquisition and totalled eur million,19,114,2
The company says the measures are no longer needed .,neutral,the company says the measures are no longer needed,9,50,1
The reduction notice applied to 17 people .,neutral,the reduction notice applied to people,6,38,1
"The OMX Helsinki index was 0.33 pct lower at 9,364.80 , while the OMX Helsinki CAP portfolio index was down 0.34 pct at 5,029.25 .",negative,the omx helsinki index was pct lower at while the omx helsinki cap portfolio index was down pct at,19,98,0
BM4 middle layer headbox will be equipped with a dilution control system .,neutral,bm middle layer headbox will be equipped with a dilution control system,12,71,1
